Name,Height,Weight,Body_mass_index,Games_Played,Goals,Assists,Shots_on_Goal,Points
Chris Clark,183,87,26.0,607,103.0,111.0,1023.0,214.0
Chris Conner,170,82,28.4,180,22.0,28.0,226.0,50.0
Chris Corrinet,190,100,27.7,8,0.0,1.0,8.0,1.0
Chris DiDomenico,180,79,24.4,27,6.0,4.0,28.0,10.0
Chris Dingman,193,107,28.7,312,12.0,16.0,258.0,28.0
Chris Drury,178,87,27.5,813,235.0,336.0,2013.0,571.0
Chris Durno,196,101,26.3,43,4.0,4.0,30.0,8.0
Chris Ferraro,175,81,26.4,12,1.0,4.0,19.0,5.0
Chris Gratton,193,99,26.6,638,117.0,186.0,1240.0,303.0
Chris Hajt,190,93,25.8,6,0.0,0.0,1.0,0.0
Chris Herperger,183,86,25.7,169,18.0,25.0,185.0,43.0
Chris Higgins,183,90,26.9,711,165.0,168.0,1704.0,333.0
Chris Joseph,190,97,26.9,90,3.0,13.0,144.0,16.0
Chris Kelleher,185,95,27.8,1,0.0,0.0,0.0,0.0
Chris Kelly,183,88,26.3,845,123.0,168.0,1155.0,291.0
Chris Kenady,188,88,24.9,2,0.0,0.0,1.0,0.0
Chris Kreider,190,98,27.1,523,157.0,159.0,1173.0,316.0
Chris Kunitz,183,88,26.3,1022,268.0,351.0,2138.0,619.0
Chris McAllister,201,113,28.0,217,2.0,12.0,103.0,14.0
Chris McAlpine,188,95,26.9,145,2.0,13.0,150.0,15.0
Chris Minard,185,91,26.6,40,2.0,4.0,46.0,6.0
Chris Mueller,180,95,29.3,53,3.0,7.0,51.0,10.0
Chris Neil,185,93,27.2,1026,112.0,138.0,1249.0,250.0
Chris Nielsen,185,86,25.1,52,6.0,8.0,64.0,14.0
Chris O'Sullivan,188,84,23.8,13,0.0,6.0,19.0,6.0
Chris Phillips,190,100,27.7,1073,63.0,203.0,1263.0,266.0
Chris Schmidt,190,96,26.6,10,0.0,2.0,10.0,2.0
Chris Simon,190,105,29.1,543,101.0,99.0,865.0,200.0
Chris Stewart,188,105,29.7,668,160.0,162.0,1242.0,322.0
Chris Summers,188,94,26.6,70,2.0,7.0,52.0,9.0
Chris Tamer,188,91,25.8,339,12.0,38.0,310.0,50.0
Chris Tanev,188,84,23.8,514,22.0,96.0,376.0,118.0
Chris Taylor,188,85,24.1,90,8.0,12.0,96.0,20.0
Chris Terry,178,88,27.8,152,22.0,16.0,178.0,38.0
Chris Therien,196,107,27.9,411,12.0,50.0,511.0,62.0
Chris Thorburn,190,107,29.6,801,53.0,81.0,691.0,134.0
Chris VandeVelde,188,86,24.3,278,18.0,30.0,248.0,48.0
Chris Wells,198,101,25.8,13,0.0,0.0,5.0,0.0
Christian Backman,190,94,26.0,302,23.0,56.0,351.0,79.0
Christian Berglund,180,88,27.2,86,11.0,16.0,122.0,27.0
Christian Ehrhoff,188,89,25.2,789,74.0,265.0,1587.0,339.0
Christian Hanson,193,103,27.6,42,3.0,6.0,56.0,9.0
Christian Laflamme,185,94,27.5,175,0.0,21.0,99.0,21.0
Christian Matte,183,86,25.7,8,0.0,1.0,9.0,1.0
Christoph Brandner,193,102,27.4,35,4.0,5.0,50.0,9.0
Christoph Schubert,190,104,28.8,315,25.0,47.0,436.0,72.0
Chuck Kobasew,183,87,26.0,601,110.0,100.0,909.0,210.0
Clarke MacArthur,183,88,26.3,552,133.0,171.0,976.0,304.0
Clarke Wilm,183,92,27.5,377,27.0,52.0,417.0,79.0
Claude Giroux,180,84,25.9,889,257.0,558.0,2323.0,815.0
Claude Lapointe,175,85,27.8,358,46.0,62.0,410.0,108.0
Claude Lemieux,185,98,28.6,297,54.0,81.0,666.0,135.0
Clay Wilson,183,91,27.2,36,4.0,4.0,54.0,8.0
Clayton Stoner,193,98,26.3,360,7.0,41.0,296.0,48.0
Cliff Ronning,173,75,25.1,363,90.0,160.0,910.0,250.0
Cody Almond,185,90,26.3,25,2.0,0.0,16.0,2.0
Cody Bass,183,92,27.5,75,2.0,3.0,42.0,5.0
Cody Eakin,183,86,25.7,586,103.0,134.0,903.0,237.0
Cody Franson,196,102,26.6,550,43.0,169.0,859.0,212.0
Cody Goloubef,185,91,26.6,160,3.0,22.0,137.0,25.0
Cody Hodgson,183,87,26.0,328,64.0,78.0,651.0,142.0
Cody McCormick,188,103,29.1,405,21.0,44.0,403.0,65.0
Cody McLeod,188,93,26.3,776,72.0,55.0,840.0,127.0
Colby Armstrong,188,84,23.8,476,89.0,120.0,702.0,209.0
Colby Cohen,188,91,25.8,3,0.0,0.0,2.0,0.0
Cole Jarrett,180,91,28.1,1,0.0,0.0,1.0,0.0
Colin Forbes,193,102,27.4,165,8.0,13.0,167.0,21.0
Colin Fraser,185,86,25.1,359,20.0,38.0,316.0,58.0
Colin Hemingway,180,76,23.5,3,0.0,0.0,2.0,0.0
Colin Stuart,188,93,26.3,56,8.0,5.0,78.0,13.0
Colin White,193,98,26.3,797,21.0,108.0,698.0,129.0
Colin Wilson,185,98,28.6,632,113.0,173.0,995.0,286.0
Colten Teubert,193,88,23.6,24,0.0,1.0,13.0,1.0
Colton Gillies,193,94,25.2,154,6.0,12.0,90.0,18.0
Colton Orr,190,101,28.0,477,12.0,12.0,173.0,24.0
Colton Sceviour,183,88,26.3,454,59.0,82.0,850.0,141.0
Connor James,178,82,25.9,16,1.0,0.0,10.0,1.0
Corey Locke,175,79,25.8,9,0.0,1.0,9.0,1.0
Corey Perry,190,95,26.3,1045,377.0,420.0,2947.0,797.0
Corey Potter,190,93,25.8,130,8.0,24.0,160.0,32.0
Cory Cross,196,100,26.0,323,22.0,51.0,277.0,73.0
Cory Emmerton,183,87,26.0,139,12.0,9.0,143.0,21.0
Cory Larose,183,87,26.0,7,0.0,1.0,10.0,1.0
Cory Murphy,178,84,26.5,91,9.0,27.0,129.0,36.0
Cory Sarich,193,94,25.2,965,21.0,137.0,847.0,158.0
Cory Stillman,183,87,26.0,735,202.0,356.0,1493.0,558.0
Craig Adams,183,89,26.6,951,55.0,105.0,918.0,160.0
Craig Berube,185,101,29.5,258,9.0,16.0,153.0,25.0
Craig Conroy,188,88,24.9,785,147.0,295.0,1181.0,442.0
Craig Cunningham,178,83,26.2,63,3.0,5.0,71.0,8.0
Craig Darby,190,93,25.8,161,19.0,27.0,188.0,46.0
Craig Ferguson,180,86,26.5,3,0.0,0.0,2.0,0.0
Craig Johnson,188,91,25.8,308,31.0,48.0,408.0,79.0
Craig MacDonald,185,88,25.7,222,11.0,24.0,264.0,35.0
Craig Millar,188,96,27.2,78,4.0,12.0,62.0,16.0
Craig Rivet,188,94,26.6,737,47.0,168.0,889.0,215.0
Craig Weller,193,102,27.4,95,4.0,10.0,99.0,14.0
Curtis Brown,183,89,26.6,562,96.0,124.0,913.0,220.0
Curtis Glencross,185,91,26.6,507,134.0,141.0,917.0,275.0
Curtis Hamilton,188,93,26.3,1,0.0,0.0,0.0,0.0
Curtis Leschyshyn,185,93,27.2,307,5.0,28.0,201.0,33.0
Curtis Murphy,173,84,28.1,1,0.0,0.0,0.0,0.0
D.J. King,190,106,29.4,118,4.0,7.0,60.0,11.0
D.J. Smith,188,93,26.3,37,1.0,0.0,9.0,1.0
Dainius Zubrus,196,102,26.6,1076,206.0,315.0,1734.0,521.0
Dale Clarke,185,88,25.7,3,0.0,0.0,5.0,0.0
Dale Purinton,188,100,28.3,181,4.0,16.0,106.0,20.0
Dale Rominski,188,91,25.8,3,0.0,1.0,0.0,1.0
Dale Weise,188,93,26.3,513,55.0,70.0,571.0,125.0
Dallas Drake,183,88,26.3,587,82.0,139.0,827.0,221.0
Dallas Eakins,188,88,24.9,22,0.0,2.0,8.0,2.0
Dalton Prout,190,104,28.8,264,7.0,31.0,241.0,38.0
Dalton Smith,188,91,25.8,1,0.0,0.0,0.0,0.0
Damian Surma,178,91,28.7,2,1.0,1.0,1.0,2.0
Dan Boyle,180,86,26.5,1071,160.0,437.0,2200.0,597.0
Dan Bylsma,188,96,27.2,273,13.0,28.0,194.0,41.0
Dan Focht,198,107,27.3,82,2.0,6.0,73.0,8.0
Dan Fritsche,185,90,26.3,256,34.0,42.0,356.0,76.0
Dan Girardi,185,94,27.5,927,56.0,208.0,1235.0,264.0
Dan Hamhuis,183,94,28.1,1148,59.0,297.0,1557.0,356.0
Dan Hinote,183,85,25.4,503,38.0,52.0,449.0,90.0
Dan Jancevski,190,99,27.4,9,0.0,0.0,7.0,0.0
Dan Keczmer,185,86,25.1,24,0.0,5.0,21.0,5.0
Dan Kesa,180,94,29.0,50,4.0,10.0,55.0,14.0
Dan LaCouture,188,94,26.6,334,20.0,25.0,229.0,45.0
Dan McGillis,188,104,29.4,403,31.0,109.0,761.0,140.0
Dan Sexton,178,77,24.3,88,13.0,19.0,171.0,32.0
Dan Smith,188,88,24.9,10,0.0,0.0,1.0,0.0
Dan Snyder,183,84,25.1,49,11.0,5.0,50.0,16.0
Dan Trebil,190,95,26.3,29,1.0,0.0,28.0,1.0
Dana Tyrell,178,88,27.8,135,7.0,17.0,120.0,24.0
Dane Byers,190,93,25.8,14,1.0,0.0,11.0,1.0
Daniel Alfredsson,180,92,28.4,975,366.0,581.0,2700.0,947.0
Daniel Briere,178,81,25.6,904,298.0,375.0,2080.0,673.0
Daniel Carcillo,183,92,27.5,429,48.0,52.0,565.0,100.0
Daniel Cleary,185,93,27.2,897,161.0,217.0,1658.0,378.0
Daniel Corso,175,85,27.8,77,14.0,11.0,69.0,25.0
Daniel Goneau,185,89,26.0,1,0.0,0.0,3.0,0.0
Daniel Lacroix,190,93,25.8,1,0.0,0.0,0.0,0.0
Daniel Paille,185,91,26.6,582,85.0,87.0,722.0,172.0
Daniel Sedin,185,85,24.8,1306,393.0,648.0,3474.0,1041.0
Daniel Tjarnqvist,185,94,27.5,352,18.0,72.0,304.0,90.0
Daniel Tkaczuk,185,88,25.7,19,4.0,7.0,34.0,11.0
Daniel Winnik,188,95,26.9,798,82.0,169.0,1194.0,251.0
Danny Biega,183,93,27.8,10,0.0,2.0,7.0,2.0
Danny Bois,185,91,26.6,1,0.0,0.0,1.0,0.0
Danny Irmen,183,88,26.3,2,0.0,0.0,0.0,0.0
Danny Markov,185,86,25.1,456,23.0,105.0,520.0,128.0
Danny Richmond,183,87,26.0,49,0.0,3.0,28.0,3.0
Danny Syvret,180,93,28.7,59,3.0,4.0,48.0,7.0
Dany Heatley,193,100,26.9,869,372.0,419.0,2565.0,791.0
Darby Hendrickson,185,88,25.7,242,35.0,38.0,301.0,73.0
Darcy Campbell,185,91,26.6,1,0.0,0.0,0.0,0.0
Darcy Hordichuk,188,93,26.3,542,20.0,21.0,246.0,41.0
Darcy Tucker,178,81,25.6,715,180.0,213.0,1289.0,393.0
Darcy Verot,183,90,26.9,37,0.0,2.0,11.0,2.0
Darius Kasparaitis,180,98,30.2,445,14.0,68.0,408.0,82.0
Darrel Scoville,190,94,26.0,16,0.0,1.0,7.0,1.0
Darren Haydar,175,77,25.1,23,1.0,7.0,21.0,8.0
Darren Helm,183,89,26.6,697,109.0,134.0,1359.0,243.0
Darren Langdon,185,93,27.2,265,2.0,9.0,74.0,11.0
Darren McCarty,185,95,27.8,389,50.0,44.0,513.0,94.0
Darren Reid,188,93,26.3,21,0.0,1.0,11.0,1.0
Darren Rumble,185,91,26.6,36,0.0,4.0,26.0,4.0
Darren Turcotte,183,86,25.7,9,0.0,1.0,13.0,1.0
Darren Van Impe,185,93,27.2,191,12.0,42.0,208.0,54.0
Darroll Powe,180,96,29.6,329,28.0,28.0,394.0,56.0
Darryl Bootland,185,89,26.0,32,1.0,2.0,20.0,3.0
Darryl Boyce,183,91,27.2,84,6.0,12.0,52.0,18.0
Darryl Laplante,183,84,25.1,30,0.0,6.0,19.0,6.0
Darryl Shannon,188,95,26.9,83,6.0,22.0,118.0,28.0
Darryl Sydor,185,96,28.1,742,43.0,209.0,1006.0,252.0
Dave Andreychuk,193,100,26.9,429,108.0,90.0,929.0,198.0
Dave Bolland,183,83,24.8,433,85.0,123.0,622.0,208.0
Dave Duerden,188,91,25.8,2,0.0,0.0,1.0,0.0
Dave Ellett,188,93,26.3,52,2.0,8.0,41.0,10.0
Dave Lowry,185,88,25.7,225,32.0,42.0,256.0,74.0
Dave Manson,188,100,28.3,184,5.0,18.0,172.0,23.0
Dave Morisset,188,95,26.9,4,0.0,0.0,2.0,0.0
Dave Morissette,185,95,27.8,1,0.0,0.0,0.0,0.0
Dave Reid,185,98,28.6,138,12.0,16.0,152.0,28.0
Dave Roche,193,104,27.9,3,0.0,0.0,3.0,0.0
Dave Scatchard,190,100,27.7,501,102.0,117.0,926.0,219.0
David Backes,190,100,27.7,950,245.0,312.0,2148.0,557.0
David Booth,183,96,28.7,530,124.0,112.0,1378.0,236.0
David Brine,185,91,26.6,9,0.0,1.0,3.0,1.0
David Clarkson,183,91,27.2,570,114.0,86.0,1254.0,200.0
David Cooper,188,93,26.3,2,0.0,0.0,3.0,0.0
David Cullen,188,89,25.2,19,0.0,0.0,3.0,0.0
David Desharnais,170,79,27.3,524,87.0,195.0,598.0,282.0
David Dziurzynski,190,102,28.2,26,3.0,3.0,34.0,6.0
David Emma,178,84,26.5,6,0.0,0.0,6.0,0.0
David Gosselin,185,93,27.2,13,2.0,1.0,14.0,3.0
David Gove,175,86,28.1,2,0.0,1.0,0.0,1.0
David Hale,185,101,29.5,327,4.0,25.0,199.0,29.0
David Harlock,188,98,27.7,128,0.0,8.0,67.0,8.0
David Jones,188,95,26.9,462,104.0,87.0,776.0,191.0
David Karpa,185,93,27.2,201,6.0,22.0,159.0,28.0
David Koci,198,108,27.6,142,3.0,1.0,33.0,4.0
David Krejci,183,84,25.1,911,207.0,479.0,1653.0,686.0
David Laliberte,185,90,26.3,11,2.0,1.0,8.0,3.0
David Legwand,188,93,26.3,1135,228.0,390.0,2114.0,618.0
David Liffiton,188,95,26.9,7,1.0,0.0,4.0,1.0
David Ling,178,89,28.1,90,4.0,4.0,87.0,8.0
David McIntyre,180,88,27.2,7,1.0,1.0,6.0,2.0
David Moravec,183,82,24.5,1,0.0,0.0,2.0,0.0
David Moss,193,95,25.5,501,78.0,100.0,995.0,178.0
David Oliver,183,86,25.7,61,8.0,8.0,44.0,16.0
David Perron,183,91,27.2,850,223.0,327.0,1739.0,550.0
David Printz,196,100,26.0,13,0.0,0.0,1.0,0.0
David Rundblad,188,88,24.9,113,4.0,21.0,135.0,25.0
David Savard,188,103,29.1,557,40.0,120.0,833.0,160.0
David Schlemko,185,86,25.1,415,18.0,76.0,557.0,94.0
David Sloane,193,100,26.9,1,0.0,0.0,0.0,0.0
David Steckel,198,98,25.0,425,33.0,46.0,458.0,79.0
David Tanabe,185,96,28.1,449,30.0,84.0,661.0,114.0
David Ullstrom,188,88,24.9,49,6.0,7.0,68.0,13.0
David Van Drunen,183,91,27.2,1,0.0,0.0,0.0,0.0
David Van der Gulik,178,85,26.8,49,2.0,11.0,57.0,13.0
David Vyborny,178,86,27.1,543,113.0,204.0,920.0,317.0
David Wilkie,190,98,27.1,1,0.0,0.0,1.0,0.0
Davis Drewiske,188,100,28.3,135,5.0,20.0,119.0,25.0
Daymond Langkow,178,83,26.2,861,233.0,355.0,1977.0,588.0
Dean Arsene,188,93,26.3,13,0.0,0.0,4.0,0.0
Dean McAmmond,180,88,27.2,676,124.0,156.0,970.0,280.0
Dean Melanson,180,89,27.5,4,0.0,0.0,6.0,0.0
Dean Sylvester,188,50,14.2,95,21.0,16.0,180.0,37.0
Denis Arkhipov,190,97,26.9,352,56.0,82.0,511.0,138.0
Denis Gauthier,190,102,28.2,489,14.0,56.0,393.0,70.0
Denis Grebeshkov,183,95,28.4,234,17.0,68.0,175.0,85.0
Denis Hamel,185,89,26.0,192,19.0,12.0,236.0,31.0
Denis Pederson,188,93,26.3,199,16.0,25.0,232.0,41.0
Denis Shvidki,188,95,26.9,76,11.0,14.0,72.0,25.0
Denis Tolpeko,183,79,23.6,26,1.0,5.0,24.0,6.0
Dennis Bonvie,180,100,30.9,67,1.0,2.0,16.0,3.0
Dennis Seidenberg,183,90,26.9,859,44.0,207.0,1430.0,251.0
Dennis Wideman,183,91,27.2,815,99.0,288.0,1624.0,387.0
Denny Lambert,180,93,28.7,213,8.0,18.0,178.0,26.0
Derek Armstrong,183,86,25.7,395,63.0,139.0,589.0,202.0
Derek Bekar,190,91,25.2,11,0.0,0.0,7.0,0.0
Derek Boogaard,201,120,29.7,277,3.0,13.0,75.0,16.0
Derek Dorsett,183,87,26.0,515,51.0,76.0,700.0,127.0
Derek Forbort,193,98,26.3,275,6.0,47.0,289.0,53.0
Derek Joslin,185,95,27.8,116,4.0,12.0,100.0,16.0
Derek King,183,93,27.8,22,2.0,7.0,33.0,9.0
Derek MacKenzie,180,82,25.3,611,51.0,74.0,624.0,125.0
Derek Meech,180,91,28.1,144,4.0,13.0,155.0,17.0
Derek Morris,183,98,29.3,954,76.0,285.0,1759.0,361.0
Derek Peltier,180,86,26.5,14,0.0,0.0,8.0,0.0
Derek Plante,180,82,25.3,45,3.0,4.0,51.0,7.0
Derek Roy,175,83,27.1,738,189.0,335.0,1583.0,524.0
Derek Smith,185,91,26.6,94,2.0,12.0,91.0,14.0
Derek Stepan,183,89,26.6,739,167.0,312.0,1760.0,479.0
Derek Whitmore,180,84,25.9,2,0.0,0.0,2.0,0.0
Derian Hatcher,196,107,27.9,517,25.0,114.0,681.0,139.0
Derick Brassard,185,93,27.2,852,186.0,297.0,1714.0,483.0
Deron Quint,188,87,24.6,293,29.0,58.0,570.0,87.0
Derrick Walser,178,89,28.1,91,8.0,21.0,133.0,29.0
Deryk Engelland,188,95,26.9,671,30.0,97.0,730.0,127.0
Devante Smith-Pelly,183,98,29.3,395,44.0,57.0,531.0,101.0
Devin Setoguchi,183,91,27.2,516,131.0,130.0,1187.0,261.0
Dick Tarnstrom,188,93,26.3,306,35.0,105.0,436.0,140.0
Dion Phaneuf,190,97,26.9,1048,137.0,357.0,2514.0,494.0
Dixon Ward,183,91,27.2,142,16.0,22.0,196.0,38.0
Dmitri Bykov,178,77,24.3,71,2.0,10.0,58.0,12.0
Dmitri Kalinin,190,98,27.1,539,36.0,126.0,619.0,162.0
Dmitri Khristich,188,88,24.9,184,34.0,55.0,210.0,89.0
Dmitri Mironov,190,103,28.5,109,6.0,24.0,132.0,30.0
Dmitri Nabokov,188,98,27.7,26,4.0,7.0,40.0,11.0
Dmitri Yakushin,183,91,27.2,2,0.0,0.0,1.0,0.0
Dmitry Afanasenkov,188,95,26.9,227,27.0,27.0,281.0,54.0
Dmitry Kulikov,185,93,27.2,677,35.0,135.0,819.0,170.0
Dmitry Orlov,180,96,29.6,516,37.0,143.0,657.0,180.0
Dmitry Yushkevich,180,94,29.0,296,17.0,67.0,367.0,84.0
Domenic Pittis,180,86,26.5,82,5.0,11.0,70.0,16.0
Dominic Moore,183,87,26.0,897,106.0,176.0,1363.0,282.0
Don Sweeney,178,84,26.5,364,9.0,54.0,306.0,63.0
Donald Audette,173,87,29.1,277,78.0,106.0,694.0,184.0
Donald Brashear,188,107,30.3,696,57.0,89.0,728.0,146.0
Donald MacLean,190,98,27.1,19,3.0,3.0,27.0,6.0
Doug Bodger,188,95,26.9,13,0.0,1.0,11.0,1.0
Doug Brown,180,84,25.9,111,19.0,21.0,158.0,40.0
Doug Doull,188,98,27.7,37,0.0,1.0,4.0,1.0
Doug Gilmour,180,84,25.9,277,53.0,129.0,367.0,182.0
Doug Houda,188,95,26.9,2,0.0,0.0,1.0,0.0
Doug Janik,188,95,26.9,190,3.0,16.0,96.0,19.0
Doug Lynch,190,97,26.9,2,0.0,0.0,2.0,0.0
Doug O'Brien,185,91,26.6,5,0.0,0.0,2.0,0.0
Doug Weight,180,89,27.5,691,144.0,404.0,1443.0,548.0
Doug Zmolek,188,100,28.3,43,2.0,7.0,24.0,9.0
Drake Berehowsky,188,102,28.9,279,28.0,65.0,325.0,93.0
Drayson Bowman,185,88,25.7,179,15.0,18.0,263.0,33.0
Drew Bagnall,190,101,28.0,2,0.0,0.0,1.0,0.0
Drew Bannister,188,90,25.5,4,0.0,0.0,4.0,0.0
Drew Doughty,185,88,25.7,919,117.0,385.0,1963.0,502.0
Drew Fata,185,96,28.1,8,1.0,1.0,5.0,2.0
Drew Larman,190,88,24.4,26,2.0,1.0,21.0,3.0
Drew Miller,188,82,23.2,571,62.0,60.0,733.0,122.0
Drew Stafford,188,97,27.4,841,196.0,232.0,1867.0,428.0
Duncan Keith,185,87,25.4,1138,101.0,509.0,2337.0,610.0
Duncan Milroy,185,90,26.3,5,0.0,1.0,6.0,1.0
Dustin Boyd,183,90,26.9,220,32.0,31.0,248.0,63.0
Dustin Brown,183,93,27.8,1183,299.0,354.0,3085.0,653.0
Dustin Byfuglien,196,118,30.7,869,177.0,348.0,2612.0,525.0
Dustin Jeffrey,185,93,27.2,131,18.0,15.0,151.0,33.0
Dustin Kohn,188,83,23.5,22,0.0,4.0,7.0,4.0
Dustin Penner,193,112,30.1,589,151.0,159.0,1263.0,310.0
Duvie Westcott,180,89,27.5,201,11.0,45.0,247.0,56.0
Dwayne Hay,183,99,29.6,68,2.0,4.0,53.0,6.0
Dwayne Zinger,193,98,26.3,7,0.0,1.0,0.0,1.0
Dwight Helminen,178,86,27.1,27,2.0,1.0,16.0,3.0
Dwight King,193,105,28.2,365,53.0,56.0,501.0,109.0
Dylan McIlrath,196,107,27.9,66,3.0,2.0,51.0,5.0
Dylan Olsen,188,101,28.6,124,5.0,17.0,129.0,22.0
Dylan Reese,185,93,27.2,78,3.0,14.0,69.0,17.0
Ed Jovanovski,188,99,28.0,844,106.0,300.0,1746.0,406.0
Ed Olczyk,185,94,27.5,33,2.0,2.0,33.0,4.0
Ed Ward,193,100,26.9,56,6.0,2.0,60.0,8.0
Enrico Ciccone,196,96,25.0,3,0.0,0.0,0.0,0.0
Enver Lisin,188,86,24.3,135,24.0,18.0,258.0,42.0
Eric Beaudoin,196,100,26.0,53,3.0,8.0,52.0,11.0
Eric Belanger,183,84,25.1,820,138.0,220.0,1350.0,358.0
Eric Bertrand,185,93,27.2,15,0.0,0.0,12.0,0.0
Eric Boguniecki,173,87,29.1,178,34.0,42.0,223.0,76.0
Eric Boulton,183,103,30.8,654,31.0,48.0,452.0,79.0
Eric Brewer,193,98,26.3,946,72.0,188.0,1342.0,260.0
Eric Cairns,198,110,28.1,369,10.0,25.0,184.0,35.0
Eric Charron,190,87,24.1,21,0.0,0.0,8.0,0.0
Eric Chouinard,190,94,26.0,90,11.0,11.0,116.0,22.0
Eric Daze,198,106,27.0,294,120.0,98.0,858.0,218.0
Eric Desjardins,185,93,27.2,397,48.0,148.0,888.0,196.0
Eric Fehr,193,96,25.8,652,113.0,108.0,1109.0,221.0
Eric Godard,193,97,26.0,335,6.0,12.0,83.0,18.0
Eric Gryba,193,102,27.4,289,7.0,36.0,305.0,43.0
Eric Healey,183,92,27.5,2,0.0,0.0,1.0,0.0
Eric Lacroix,185,95,27.8,125,6.0,12.0,78.0,18.0
Eric Landry,178,83,26.2,53,4.0,8.0,54.0,12.0
Eric Lindros,193,111,29.8,329,109.0,156.0,855.0,265.0
Eric Manlow,183,93,27.8,37,2.0,4.0,22.0,6.0
Eric Meloche,178,92,29.0,74,9.0,11.0,103.0,20.0
Eric Messier,188,88,24.9,292,17.0,36.0,237.0,53.0
Eric Nickulas,180,91,28.1,116,15.0,23.0,172.0,38.0
Eric Nystrom,185,88,25.7,593,75.0,48.0,657.0,123.0
Eric Perrin,175,80,26.1,245,32.0,72.0,384.0,104.0
Eric Selleck,188,100,28.3,3,0.0,1.0,3.0,1.0
Eric Staal,193,93,25.0,1240,436.0,585.0,3853.0,1021.0
Eric Tangradi,193,103,27.6,150,5.0,11.0,156.0,16.0
Eric Weinrich,185,94,27.5,475,22.0,118.0,585.0,140.0
Eric Wellwood,180,81,25.0,31,5.0,5.0,46.0,10.0
Erich Goldmann,190,89,24.6,1,0.0,0.0,0.0,0.0
Erik Christensen,185,91,26.6,387,68.0,95.0,688.0,163.0
Erik Cole,188,91,25.8,892,265.0,267.0,2050.0,532.0
Erik Condra,180,84,25.9,372,40.0,59.0,528.0,99.0
Erik Gudbranson,196,98,25.5,518,20.0,53.0,665.0,73.0
Erik Gustafsson,178,82,25.9,91,6.0,17.0,86.0,23.0
Erik Johnson,193,102,27.4,776,80.0,223.0,1625.0,303.0
Erik Karlsson,183,87,26.0,736,135.0,468.0,2134.0,603.0
Erik Rasmussen,185,94,27.5,482,47.0,66.0,528.0,113.0
Erik Reitz,185,95,27.8,48,1.0,1.0,22.0,2.0
Erik Westrum,183,93,27.8,27,1.0,2.0,45.0,3.0
Esa Pirnes,183,86,25.7,57,3.0,8.0,57.0,11.0
Espen Knutsen,180,88,27.2,188,27.0,81.0,203.0,108.0
Ethan Moreau,190,99,27.4,704,113.0,103.0,1259.0,216.0
Evan Brophey,188,90,25.5,4,0.0,0.0,1.0,0.0
Evan Oberg,183,87,26.0,7,0.0,0.0,4.0,0.0
Evander Kane,188,96,27.2,713,242.0,215.0,2536.0,457.0
Evgeni Malkin,190,88,24.4,907,416.0,660.0,3045.0,1076.0
Evgenii Dadonov,178,84,26.5,280,91.0,111.0,635.0,202.0
Evgeny Artyukhin,193,115,30.9,199,19.0,30.0,221.0,49.0
Evgeny Grachev,193,102,27.4,34,1.0,3.0,17.0,4.0
Evgeny Korolev,185,97,28.3,42,1.0,4.0,27.0,5.0
Evgeny Kuznetsov,188,87,24.6,479,120.0,269.0,1021.0,389.0
Fabian Brunnstrom,185,93,27.2,104,19.0,22.0,125.0,41.0
Fedor Fedorov,190,104,28.8,18,0.0,2.0,14.0,2.0
Fedor Tyutin,188,100,28.3,872,55.0,209.0,1179.0,264.0
Fernando Pisani,185,93,27.2,462,87.0,82.0,698.0,169.0
Filip Kuba,193,102,27.4,831,70.0,262.0,1194.0,332.0
Filip Novak,185,88,25.7,17,0.0,0.0,8.0,0.0
Francis Belanger,188,98,27.7,10,0.0,0.0,2.0,0.0
Francis Bouillon,173,89,29.7,776,32.0,117.0,733.0,149.0
Francis Lessard,190,107,29.6,115,1.0,3.0,34.0,4.0
Francis Wathier,193,99,26.6,10,0.0,0.0,4.0,0.0
Francois Beauchemin,185,94,27.5,903,76.0,212.0,1506.0,288.0
Frank Banham,183,86,25.7,8,0.0,0.0,9.0,0.0
Frank Musil,190,98,27.1,13,0.0,2.0,0.0,2.0
Frans Nielsen,185,85,24.8,896,166.0,301.0,1659.0,467.0
Frantisek Kaberle,183,86,25.7,523,29.0,164.0,732.0,193.0
Frantisek Kucera,188,98,27.7,111,3.0,20.0,127.0,23.0
Frazer McLaren,196,104,27.1,102,4.0,7.0,40.0,11.0
Freddie Hamilton,188,88,24.9,75,4.0,2.0,73.0,6.0
Freddy Meyer,178,84,26.5,281,20.0,53.0,264.0,73.0
Frederic St. Denis,180,85,26.2,21,1.0,3.0,13.0,4.0
Fredrik Modin,193,100,26.9,681,194.0,192.0,1626.0,386.0
Fredrik Olausson,183,90,26.9,161,19.0,38.0,219.0,57.0
Fredrik Sjostrom,185,99,28.9,489,46.0,58.0,638.0,104.0
Gabe Gauthier,175,93,30.4,8,0.0,0.0,8.0,0.0
Gabriel Bourque,178,93,29.4,413,40.0,63.0,433.0,103.0
Gabriel Dumont,178,89,28.1,90,4.0,5.0,101.0,9.0
Gaetan Royer,190,95,26.3,3,0.0,0.0,0.0,0.0
Garnet Exelby,185,98,28.6,408,7.0,43.0,245.0,50.0
Garret Stroshein,201,111,27.5,3,0.0,0.0,2.0,0.0
Garrett Burnett,190,104,28.8,39,1.0,2.0,24.0,3.0
Garrett Stafford,183,88,26.3,7,0.0,2.0,8.0,2.0
Garrett Wilson,188,90,25.5,84,2.0,6.0,91.0,8.0
